Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-04-27,3.190000,3.400000,3.060000,3.360000,3.360000,5667200,AMC
2020-04-28,3.820000,4.750000,3.500000,4.140000,4.140000,21601100,AMC
2020-04-29,4.540000,5.530000,4.470000,5.190000,5.190000,27162400,AMC
2020-04-30,5.010000,5.090000,4.500000,4.920000,4.920000,11235600,AMC
2020-05-01,4.620000,4.700000,4.300000,4.570000,4.570000,6746800,AMC
2020-05-04,4.110000,4.780000,4.000000,4.300000,4.300000,5601400,AMC
2020-05-05,4.670000,4.690000,3.810000,3.890000,3.890000,7504500,AMC
2020-05-06,4.080000,4.100000,3.830000,3.920000,3.920000,3105700,AMC
2020-05-07,4.010000,4.180000,3.950000,3.990000,3.990000,4105800,AMC
2020-05-08,4.140000,4.220000,4.040000,4.100000,4.100000,3571200,AMC
2020-05-11,6.400000,6.410000,4.890000,5.320000,5.320000,106553300,AMC
2020-05-12,5.770000,5.840000,4.910000,5.120000,5.120000,19681900,AMC
2020-05-13,5.020000,5.030000,4.510000,4.600000,4.600000,10433400,AMC
2020-05-14,4.250000,4.650000,4.080000,4.550000,4.550000,5920500,AMC
2020-05-15,4.470000,4.620000,4.440000,4.520000,4.520000,3483200,AMC
2020-05-18,4.800000,4.930000,4.630000,4.720000,4.720000,6036900,AMC
2020-05-19,4.820000,4.980000,4.500000,4.560000,4.560000,4929800,AMC
2020-05-20,4.690000,4.750000,4.590000,4.660000,4.660000,3489500,AMC
2020-05-21,4.680000,4.790000,4.550000,4.630000,4.630000,4555000,AMC
2020-05-22,4.660000,4.680000,4.560000,4.580000,4.580000,2408800,AMC
2020-05-26,4.800000,5.140000,4.700000,5.110000,5.110000,8864100,AMC
2020-05-27,5.480000,5.650000,5.110000,5.600000,5.600000,7862400,AMC
2020-05-28,5.650000,5.680000,5.020000,5.070000,5.070000,6590200,AMC
2020-05-29,5.000000,5.380000,4.830000,5.130000,5.130000,5153000,AMC
2020-06-01,5.030000,5.370000,5.020000,5.310000,5.310000,3913100,AMC
2020-06-02,5.350000,5.650000,5.330000,5.590000,5.590000,6877800,AMC
2020-06-03,5.270000,5.990000,5.090000,5.450000,5.450000,15353700,AMC
2020-06-04,5.170000,5.400000,5.000000,5.380000,5.380000,8572600,AMC
2020-06-05,5.780000,6.150000,5.640000,5.910000,5.910000,9240900,AMC
2020-06-08,6.270000,6.840000,6.170000,6.450000,6.450000,8587100,AMC
2020-06-09,6.100000,6.190000,5.560000,5.990000,5.990000,7394300,AMC
2020-06-10,7.300000,7.350000,6.280000,6.290000,6.290000,15322600,AMC
2020-06-11,5.530000,5.650000,5.000000,5.170000,5.170000,9179400,AMC
2020-06-12,5.690000,5.930000,5.220000,5.890000,5.890000,7352900,AMC
2020-06-15,5.420000,5.930000,5.300000,5.800000,5.800000,5541400,AMC
2020-06-16,6.020000,6.060000,5.500000,5.560000,5.560000,5911900,AMC
2020-06-17,5.410000,5.630000,5.310000,5.420000,5.420000,3030800,AMC
2020-06-18,5.350000,5.720000,5.340000,5.630000,5.630000,5619700,AMC
2020-06-19,6.200000,6.250000,5.460000,5.520000,5.520000,13137400,AMC
2020-06-22,5.480000,5.480000,5.210000,5.330000,5.330000,4412800,AMC
2020-06-23,5.370000,5.400000,5.040000,5.100000,5.100000,5699300,AMC
2020-06-24,4.990000,5.120000,4.510000,4.790000,4.790000,8104100,AMC
2020-06-25,4.570000,4.590000,4.170000,4.270000,4.270000,8251400,AMC
2020-06-26,4.260000,4.690000,4.150000,4.180000,4.180000,5601000,AMC
2020-06-29,3.910000,4.440000,3.750000,4.420000,4.420000,9321600,AMC
2020-06-30,4.340000,4.360000,4.210000,4.290000,4.290000,3653400,AMC
2020-07-01,4.260000,4.600000,4.260000,4.570000,4.570000,4914500,AMC
2020-07-02,4.690000,4.690000,4.470000,4.530000,4.530000,3908400,AMC
2020-07-06,4.620000,4.640000,4.130000,4.280000,4.280000,5489700,AMC
2020-07-07,4.180000,4.290000,4.080000,4.130000,4.130000,2667600,AMC
2020-07-08,4.490000,4.520000,4.200000,4.430000,4.430000,5586800,AMC
2020-07-09,4.480000,4.600000,4.180000,4.570000,4.570000,4225700,AMC
2020-07-10,4.390000,4.600000,4.380000,4.600000,4.600000,3306100,AMC
2020-07-13,4.760000,4.820000,4.250000,4.260000,4.260000,4464800,AMC
2020-07-14,4.250000,4.270000,4.100000,4.220000,4.220000,3291400,AMC
2020-07-15,4.370000,4.580000,4.220000,4.500000,4.500000,4830700,AMC
2020-07-16,4.330000,4.480000,4.310000,4.380000,4.380000,1997500,AMC
2020-07-17,4.360000,4.370000,4.200000,4.270000,4.270000,2101700,AMC
2020-07-20,4.210000,4.230000,4.070000,4.150000,4.150000,2393100,AMC
2020-07-21,4.150000,4.240000,4.080000,4.150000,4.150000,1925900,AMC
2020-07-22,4.100000,4.170000,4.000000,4.030000,4.030000,2798800,AMC
2020-07-23,4.080000,4.180000,4.000000,4.060000,4.060000,3614300,AMC
2020-07-24,4.000000,4.180000,3.960000,4.000000,4.000000,3282400,AMC
2020-07-27,4.010000,4.030000,3.810000,3.870000,3.870000,2980500,AMC
2020-07-28,3.850000,4.250000,3.840000,4.150000,4.150000,6226600,AMC
2020-07-29,4.070000,4.200000,3.950000,4.160000,4.160000,5489400,AMC
2020-07-30,4.120000,4.340000,4.060000,4.120000,4.120000,3699100,AMC
2020-07-31,4.080000,4.150000,3.950000,4.040000,4.040000,2584900,AMC
2020-08-03,4.050000,4.200000,3.860000,4.110000,4.110000,4047100,AMC
2020-08-04,4.070000,4.240000,4.060000,4.100000,4.100000,3267800,AMC
2020-08-05,4.080000,4.170000,4.070000,4.150000,4.150000,1691500,AMC
2020-08-06,4.110000,4.240000,3.990000,4.140000,4.140000,3742600,AMC
2020-08-07,4.140000,5.260000,4.090000,4.750000,4.750000,24917400,AMC
2020-08-10,4.650000,4.740000,4.350000,4.470000,4.470000,5048200,AMC
2020-08-11,4.700000,4.850000,4.540000,4.560000,4.560000,5794800,AMC
2020-08-12,4.620000,4.760000,4.560000,4.640000,4.640000,2457900,AMC
2020-08-13,5.100000,5.770000,4.820000,5.310000,5.310000,23259200,AMC
2020-08-14,5.560000,5.630000,5.050000,5.540000,5.540000,12055800,AMC
2020-08-17,5.720000,5.850000,5.430000,5.600000,5.600000,7159200,AMC
2020-08-18,5.570000,5.570000,5.130000,5.350000,5.350000,5790700,AMC
2020-08-19,5.340000,5.470000,5.180000,5.390000,5.390000,5728300,AMC
2020-08-20,5.570000,5.780000,5.300000,5.690000,5.690000,13728400,AMC
2020-08-21,5.680000,5.680000,5.180000,5.190000,5.190000,8216900,AMC
2020-08-24,5.350000,5.450000,4.940000,5.410000,5.410000,8498200,AMC
2020-08-25,5.460000,5.580000,5.210000,5.540000,5.540000,5296900,AMC
2020-08-26,5.450000,5.670000,5.330000,5.600000,5.600000,4419400,AMC
2020-08-27,5.810000,7.100000,5.700000,6.520000,6.520000,31921200,AMC
2020-08-28,6.490000,6.540000,6.110000,6.300000,6.300000,9882700,AMC
2020-08-31,6.330000,6.450000,5.760000,5.880000,5.880000,9820200,AMC
2020-09-01,5.790000,6.180000,5.790000,6.070000,6.070000,9524000,AMC
2020-09-02,7.010000,7.710000,6.460000,7.040000,7.040000,43056200,AMC
2020-09-03,6.940000,7.140000,6.480000,6.600000,6.600000,10626600,AMC
2020-09-04,6.760000,7.020000,6.230000,7.020000,7.020000,9328800,AMC
2020-09-08,6.760000,6.950000,6.370000,6.420000,6.420000,6667400,AMC
2020-09-09,6.540000,6.540000,6.110000,6.260000,6.260000,5578200,AMC
2020-09-10,6.280000,6.360000,5.880000,5.940000,5.940000,5881800,AMC
2020-09-11,6.060000,6.070000,5.600000,5.790000,5.790000,4863000,AMC
2020-09-14,5.840000,5.870000,5.510000,5.540000,5.540000,4638100,AMC
2020-09-15,5.600000,5.870000,5.520000,5.520000,5.520000,5099300,AMC
2020-09-16,5.520000,5.880000,5.420000,5.760000,5.760000,4380600,AMC
2020-09-17,5.670000,5.790000,5.580000,5.720000,5.720000,2619700,AMC
2020-09-18,5.710000,5.740000,5.570000,5.670000,5.670000,2428500,AMC
2020-09-21,5.420000,5.480000,5.010000,5.320000,5.320000,4563200,AMC
